,apartment_type,district,agency,size,floor,year_built,station_distance,cost
2498,1K APARTMENT,"IN SAKURAGAOKA
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 24.90 m²,Floor 1 / 2F,Year Built 2011,Chitosefunabashi Station (14 min. walk),"Monthly Costs ¥90,550"
2499,1K APARTMENT,"IN HIGASHIIKO
ADACHI-KU, TOKYO",Sumaino Seika,Size 22.35 m²,Floor 2 / 2F,Year Built 2008,Toneri Station (20 min. walk),"Monthly Costs ¥56,550"
2500,1R APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO","Aonissin Co.,ltd.",Size 40.20 m²,Floor 3 / 7F,Year Built 1987,Nishishinjuku Go Choume Station (5 min. walk),"Monthly Costs ¥96,000"
2501,1K APARTMENT,"IN KAMIUMA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.80 m²,Floor 2 / 2F,Year Built 1993,Komazawa-daigaku Station (8 min. walk),"Monthly Costs ¥69,000"
2502,1K APARTMENT,"IN MINAMIOTSUKA
TOSHIMA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 3F,Year Built 2009,Shinotsuka Station (9 min. walk),"Monthly Costs ¥86,550"
2503,1K APARTMENT,"IN DAITA
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2011,Higashimatsubara Station (5 min. walk),"Monthly Costs ¥88,550"
2504,1K APARTMENT,"IN TAGARA
NERIMA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 2F,Year Built 2010,Hikarigaoka Station (16 min. walk),"Monthly Costs ¥67,050"
2505,1K APARTMENT,"IN MOTOKI NISHIMACHI
ADACHI-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 3F,Year Built 2007,Ougi Ohashi Station (15 min. walk),"Monthly Costs ¥68,550"
2506,1K APARTMENT,"IN OKINOMIYACHO
EDOGAWA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 2F,Year Built 2005,Koiwa Station (17 min. walk),"Monthly Costs ¥59,550"
2507,1K APARTMENT,"IN OKURA
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 20.29 m²,Floor 2 / 3F,Year Built 2017,Soshigaya Okura Station (20 min. walk),"Monthly Costs ¥86,550"
2508,1K APARTMENT,"IN WAKABAYASHI
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 20.00 m²,Floor 1 / 2F,Year Built 1986,Shōin-Jinjamae. Station (2 min. walk),"Monthly Costs ¥53,000"
2509,1K APARTMENT,"IN OKURA
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 22.35 m²,Floor 2 / 2F,Year Built 2007,Seijougakuen Mae Station (24 min. walk),"Monthly Costs ¥69,550"
2510,1K APARTMENT,"IN IKEGAMI
OTA-KU, TOKYO",Sumaino Seika,Size 19.18 m²,Floor 1 / 2F,Year Built 2007,Ikegami Station (11 min. walk),"Monthly Costs ¥80,550"
2511,1R APARTMENT,"IN HIGASHIKOMAGATA
SUMIDA-KU, TOKYO","Aonissin Co.,ltd.",Size 27.38 m²,Floor 1 / 4F,Year Built 1996,Asakusa Station (10 min. walk),"Monthly Costs ¥85,000"
2512,1K APARTMENT,"IN WAKAMIYA
NAKANO-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 2F,Year Built 2008,Toritsu Kasei Station (11 min. walk),"Monthly Costs ¥72,050"
2513,3DK APARTMENT,"IN MATSUSHIMA
EDOGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 51.70 m²,Floor 2 / 4F,Year Built 1988,Shinkoiwa Station (8 min. walk),"Monthly Costs ¥100,000"
2514,1K APARTMENT,"IN NAKAROKUGO
OTA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 3F,Year Built 2003,Rokugoudote Station (5 min. walk),"Monthly Costs ¥76,550"
2515,1K APARTMENT,"IN OMORIMINAMI
OTA-KU, TOKYO",Sumaino Seika,Size 20.28 m²,Floor 1 / 2F,Year Built 2006,Shouwajima Station (20 min. walk),"Monthly Costs ¥72,050"
2516,1K APARTMENT,"IN KANAMECHO
TOSHIMA-KU, TOKYO",Sumaino Seika,Size 23.18 m²,Floor 2 / 2F,Year Built 1998,Kanamechou Station (6 min. walk),"Monthly Costs ¥84,050"
2517,1R APARTMENT,"IN KAMIIGUSA
SUGINAMI-KU, TOKYO",Sumaino Seika,Size 28.05 m²,Floor 1 / 2F,Year Built 2015,Kamishakujii Station (15 min. walk),"Monthly Costs ¥94,550"
2518,1K APARTMENT,"IN TAKAMATSU
NERIMA-KU, TOKYO",Sumaino Seika,Size 26.08 m²,Floor 2 / 4F,Year Built 2010,Nerima Kasugacho Station (8 min. walk),"Monthly Costs ¥81,550"
2519,1K APARTMENT,"IN KAMIITABASHI
ITABASHI-KU, TOKYO",Sumaino Seika,Size 24.09 m²,Floor 1 / 3F,Year Built 2020,Kamiitabashi Station (8 min. walk),"Monthly Costs ¥92,550"
2520,1K APARTMENT,"IN SEKIMACHIHIGASHI
NERIMA-KU, TOKYO",Sumaino Seika,Size 22.35 m²,Floor 1 / 2F,Year Built 2004,Kamishakujii Station (13 min. walk),"Monthly Costs ¥76,050"
2521,1K APARTMENT,"IN KITAKAHEICHO
ADACHI-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2008,Kitaayase Station (16 min. walk),"Monthly Costs ¥67,050"
2522,1K APARTMENT,"IN SAKURA
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 22.98 m²,Floor 1 / 2F,Year Built 2014,Kyoudou Station (9 min. walk),"Monthly Costs ¥96,550"
2523,1K APARTMENT,"IN MIYASAKA
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 2F,Year Built 2003,Kyoudou Station (11 min. walk),"Monthly Costs ¥73,050"
2524,1LDK APARTMENT,"IN MAENOCHO
ITABASHI-KU, TOKYO",Sumaino Seika,Size 56.04 m²,Floor 2 / 3F,Year Built 2011,Motohasunuma Station (11 min. walk),"Monthly Costs ¥115,550"
2525,1K APARTMENT,"IN UKIMA
KITA-KU, TOKYO",Sumaino Seika,Size 20.76 m²,Floor 1 / 2F,Year Built 2013,Ukimafunado Station (9 min. walk),"Monthly Costs ¥85,050"
2526,1K APARTMENT,"IN HATANODAI
SHINAGAWA-KU, TOKYO",Sumaino Seika,Size 21.11 m²,Floor 2 / 3F,Year Built 2014,Senzoku Station (5 min. walk),"Monthly Costs ¥104,550"
2527,1K APARTMENT,"IN OMORINISHI
OTA-KU, TOKYO",Sumaino Seika,Size 20.29 m²,Floor 3 / 3F,Year Built 2018,Omorimachi Station (6 min. walk),"Monthly Costs ¥97,550"
2528,1K APARTMENT,"IN KAMISHAKUJII
NERIMA-KU, TOKYO",Sumaino Seika,Size 27.53 m²,Floor 2 / 2F,Year Built 2015,Kamishakujii Station (11 min. walk),"Monthly Costs ¥88,550"
2529,1K APARTMENT,"IN AYASE
ADACHI-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 3F,Year Built 2008,Ayase Station (5 min. walk),"Monthly Costs ¥73,550"
2530,1K APARTMENT,"IN FUTABA
SHINAGAWA-KU, TOKYO",Sumaino Seika,Size 22.61 m²,Floor 2 / 4F,Year Built 2017,Shimoshinmei Station (3 min. walk),"Monthly Costs ¥104,550"
2531,1K APARTMENT,"IN CHUO
OTA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2004,Ikegami Station (15 min. walk),"Monthly Costs ¥79,050"
2532,1R APARTMENT,"IN SENJU MIYAMOTOCHO
ADACHI-KU, TOKYO","Aonissin Co.,ltd.",Size 15.36 m²,Floor 1 / 2F,Year Built 2008,Senjuohashi Station (7 min. walk),"Monthly Costs ¥61,000"
2533,1K APARTMENT,"IN KAMINAKAZATO
KITA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2011,Kajihara Station (2 min. walk),"Monthly Costs ¥78,550"
2534,1K APARTMENT,"IN KITAKOIWA
EDOGAWA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2002,Keiseikoiwa Station (7 min. walk),"Monthly Costs ¥69,550"
2535,1DK APARTMENT,"IN IKEBUKURO (2-4-CHOME)
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 25.51 m²,Floor 3 / 3F,Year Built 1986,Ikebukuro Station (9 min. walk),"Monthly Costs ¥90,000"
2536,1K APARTMENT,"IN SANNO
OTA-KU, TOKYO",Sumaino Seika,Size 19.60 m²,Floor 2 / 4F,Year Built 2015,Omori Station (15 min. walk),"Monthly Costs ¥90,550"
2537,1K APARTMENT,"IN HIGASHIKOJIYA
OTA-KU, TOKYO",Sumaino Seika,Size 23.65 m²,Floor 2 / 2F,Year Built 2016,Otorii Station (13 min. walk),"Monthly Costs ¥85,550"
2538,1K APARTMENT,"IN OTOWA
BUNKYO-KU, TOKYO",Sumaino Seika,Size 26.25 m²,Floor 9 / 12F,Year Built 2017,Edogawabashi Station (6 min. walk),"Monthly Costs ¥125,550"
2539,1K APARTMENT,"IN KITASUNA
KOTO-KU, TOKYO",Sumaino Seika,Size 24.80 m²,Floor 1 / 2F,Year Built 2013,Ojima Station (15 min. walk),"Monthly Costs ¥91,050"
2540,1K APARTMENT,"IN KITAZAWA
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 23.28 m²,Floor 1 / 2F,Year Built 2012,Shimokitazawa Station (6 min. walk),"Monthly Costs ¥103,550"
2541,1K APARTMENT,"IN KASUGACHO
NERIMA-KU, TOKYO",Sumaino Seika,Size 21.11 m²,Floor 2 / 3F,Year Built 2017,Nerima Kasugacho Station (5 min. walk),"Monthly Costs ¥83,550"
2542,2DK APARTMENT,"IN NAGASAKI
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 43.50 m²,Floor 3 / 10F,Year Built 1989,Tama Center Station (6 min. walk),"Monthly Costs ¥125,500"
2543,1K APARTMENT,"IN SHAKUJIIDAI
NERIMA-KU, TOKYO",Sumaino Seika,Size 29.81 m²,Floor 2 / 3F,Year Built 2015,Musashi Seki Station (7 min. walk),"Monthly Costs ¥90,550"
2544,1K APARTMENT,"IN YAHARA
NERIMA-KU, TOKYO",Sumaino Seika,Size 22.35 m²,Floor 2 / 2F,Year Built 2005,Hikarigaoka Station (18 min. walk),"Monthly Costs ¥66,050"
2545,1K APARTMENT,"IN HIKAWADAI
NERIMA-KU, TOKYO",Sumaino Seika,Size 20.86 m²,Floor 4 / 4F,Year Built 2018,Hikawadai Station (6 min. walk),"Monthly Costs ¥93,050"
2546,1K APARTMENT,"IN KITASUNA
KOTO-KU, TOKYO",Sumaino Seika,Size 25.83 m²,Floor 3 / 3F,Year Built 2012,Minamisunamachi Station (15 min. walk),"Monthly Costs ¥95,550"
2547,1K APARTMENT,"IN SHIBAMATA
KATSUSHIKA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 2F,Year Built 2002,Shibamata Station (6 min. walk),"Monthly Costs ¥54,550"
2548,1K APARTMENT,"IN MINAMITANAKA
NERIMA-KU, TOKYO",Sumaino Seika,Size 23.27 m²,Floor 1 / 2F,Year Built 2006,Nerima Takanodai Station (15 min. walk),"Monthly Costs ¥67,050"
2549,1K APARTMENT,"IN NISHIROKUGO
OTA-KU, TOKYO",Sumaino Seika,Size 20.49 m²,Floor 4 / 4F,Year Built 2016,Rokugoudote Station (7 min. walk),"Monthly Costs ¥84,550"
2550,1K APARTMENT,"IN TAKARAMACHI
KATSUSHIKA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2008,Ohanajaya Station (9 min. walk),"Monthly Costs ¥64,350"
2551,1R APARTMENT,"IN EHARACHO
NAKANO-KU, TOKYO",Sumaino Seika,Size 26.84 m²,Floor 2 / 3F,Year Built 2013,Shin Egota Station (10 min. walk),"Monthly Costs ¥97,550"
2552,1K APARTMENT,"IN SHIMOSHAKUJII
NERIMA-KU, TOKYO",Sumaino Seika,Size 22.35 m²,Floor 1 / 2F,Year Built 2011,Kamiigusa Station (5 min. walk),"Monthly Costs ¥80,050"
2553,1R APARTMENT,"IN MINAMIAZABU
MINATO-KU, TOKYO",Sumaino Seika,Size 25.51 m²,Floor 3 / 11F,Year Built 2017,Azabu-juban Station (10 min. walk),"Monthly Costs ¥156,550"
2554,1K APARTMENT,"IN TAGARA
NERIMA-KU, TOKYO",Sumaino Seika,Size 20.81 m²,Floor 1 / 3F,Year Built 2010,Hikarigaoka Station (12 min. walk),"Monthly Costs ¥71,050"
2555,1K APARTMENT,"IN HAKUSAN(2-5-CHOME)
BUNKYO-KU, TOKYO",Sumaino Seika,Size 22.28 m²,Floor 1 / 2F,Year Built 2014,Hakusan Station (10 min. walk),"Monthly Costs ¥106,550"
2556,1K APARTMENT,"IN MIZUE
EDOGAWA-KU, TOKYO",Sumaino Seika,Size 22.35 m²,Floor 1 / 2F,Year Built 2007,Mizue Station (10 min. walk),"Monthly Costs ¥70,550"
2557,1K APARTMENT,"IN TOYO
KOTO-KU, TOKYO",Sumaino Seika,Size 19.57 m²,Floor 3 / 3F,Year Built 2002,Kiba Station (7 min. walk),"Monthly Costs ¥86,550"
2558,1K APARTMENT,"IN TONERI
ADACHI-KU, TOKYO",Sumaino Seika,Size 23.10 m²,Floor 2 / 2F,Year Built 2006,Toneri Station (8 min. walk),"Monthly Costs ¥58,550"
2559,1K APARTMENT,"IN OMORIKITA
OTA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 3 / 3F,Year Built 2008,Heiwajima Station (11 min. walk),"Monthly Costs ¥93,550"
2560,1K APARTMENT,"IN IZUMI
SUGINAMI-KU, TOKYO",Sumaino Seika,Size 20.80 m²,Floor 1 / 2F,Year Built 2004,Hounanchou Station (8 min. walk),"Monthly Costs ¥82,050"
2561,1K APARTMENT,"IN NARITANISHI
SUGINAMI-KU, TOKYO",Sumaino Seika,Size 20.75 m²,Floor 1 / 2F,Year Built 2015,Hamadayama Station (16 min. walk),"Monthly Costs ¥79,550"
2562,1K APARTMENT,"IN OGI
ADACHI-KU, TOKYO",Sumaino Seika,Size 21.47 m²,Floor 2 / 3F,Year Built 2014,Ougi Ohashi Station (10 min. walk),"Monthly Costs ¥70,550"
2563,1K APARTMENT,"IN HONAMANUMA
SUGINAMI-KU, TOKYO",Sumaino Seika,Size 20.28 m²,Floor 2 / 2F,Year Built 2007,Ogikubo Station (16 min. walk),"Monthly Costs ¥78,050"
2564,1K APARTMENT,"IN SAKURAGAOKA
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 2F,Year Built 2003,Chitosefunabashi Station (14 min. walk),"Monthly Costs ¥70,550"
2565,1K APARTMENT,"IN NAKAOCHIAI
SHINJUKU-KU, TOKYO",Sumaino Seika,Size 26.08 m²,Floor 2 / 2F,Year Built 2003,Nakai Station (9 min. walk),"Monthly Costs ¥86,050"
2566,1K APARTMENT,"IN SHIMOIGUSA
SUGINAMI-KU, TOKYO",Sumaino Seika,Size 25.62 m²,Floor 1 / 2F,Year Built 2013,Shimoigusa Station (10 min. walk),"Monthly Costs ¥85,050"
2567,1K APARTMENT,"IN KUGAYAMA
SUGINAMI-KU, TOKYO",Sumaino Seika,Size 21.51 m²,Floor 1 / 2F,Year Built 2018,Kugayama Station (8 min. walk),"Monthly Costs ¥87,550"
2568,1K APARTMENT,"IN NARITAHIGASHI
SUGINAMI-KU, TOKYO",Sumaino Seika,Size 20.82 m²,Floor 2 / 2F,Year Built 2018,Minami Asagaya Station (15 min. walk),"Monthly Costs ¥81,550"
2569,1K APARTMENT,"IN TAKASHIMADAIRA
ITABASHI-KU, TOKYO",Sumaino Seika,Size 26.08 m²,Floor 2 / 3F,Year Built 2012,Nishidai Station (5 min. walk),"Monthly Costs ¥88,550"
2570,1LDK APARTMENT,"IN OTOWA
BUNKYO-KU, TOKYO",Sumaino Seika,Size 43.38 m²,Floor 9 / 12F,Year Built 2017,Edogawabashi Station (6 min. walk),"Monthly Costs ¥180,550"
2571,1K APARTMENT,"IN TODOROKI
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2002,Todoroki Station (14 min. walk),"Monthly Costs ¥78,550"
2572,1K APARTMENT,"IN TAKAIDOHIGASHI
SUGINAMI-KU, TOKYO","Aonissin Co.,ltd.",Size 20.00 m²,Floor 4 / 4F,Year Built 2003,Takaido Station (4 min. walk),"Monthly Costs ¥70,000"
2573,1K APARTMENT,"IN MINAMIDAI
NAKANO-KU, TOKYO","Aonissin Co.,ltd.",Size 13.75 m²,Floor 1 / 2F,Year Built 1985,Hounanchou Station (10 min. walk),"Monthly Costs ¥61,550"
2574,1K APARTMENT,"IN SHAKUJIIDAI
NERIMA-KU, TOKYO",Sumaino Seika,Size 26.08 m²,Floor 2 / 2F,Year Built 2005,Oizumigakuen Station (18 min. walk),"Monthly Costs ¥70,550"
2575,1K APARTMENT,"IN KAMINOGE
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 19.93 m²,Floor 1 / 2F,Year Built 2015,Kaminoge Station (12 min. walk),"Monthly Costs ¥89,550"
2576,1K APARTMENT,"IN TOSHIMA
KITA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.80 m²,Floor 2 / 3F,Year Built 1995,Higashijujo Station (16 min. walk),"Monthly Costs ¥60,000"
2577,1K APARTMENT,"IN EGOTA
NAKANO-KU, TOKYO",Sumaino Seika,Size 23.71 m²,Floor 1 / 2F,Year Built 2005,Shin Egota Station (15 min. walk),"Monthly Costs ¥73,050"
2578,1K APARTMENT,"IN KOMATSUGAWA
EDOGAWA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 2F,Year Built 2004,Funabori Station (15 min. walk),"Monthly Costs ¥70,550"
2579,1K APARTMENT,"IN TAGARA
NERIMA-KU, TOKYO",Sumaino Seika,Size 28.02 m²,Floor 2 / 2F,Year Built 2008,Chikatetsu Akatsuka Station (14 min. walk),"Monthly Costs ¥74,550"
2580,1K APARTMENT,"IN SETA
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 23.18 m²,Floor 1 / 2F,Year Built 2007,Kaminoge Station (13 min. walk),"Monthly Costs ¥87,050"
2581,1K APARTMENT,"IN TAKAMATSU
NERIMA-KU, TOKYO",Sumaino Seika,Size 20.54 m²,Floor 2 / 3F,Year Built 2018,Hikarigaoka Station (15 min. walk),"Monthly Costs ¥77,550"
2582,2DK APARTMENT,"IN TODOROKI
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 49.20 m²,Floor 1 / 2F,Year Built 2008,Todoroki Station (7 min. walk),"Monthly Costs ¥154,550"
2583,1K APARTMENT,"IN SHIMOUMA
SETAGAYA-KU, TOKYO","Aonissin Co.,ltd.",Size 18.70 m²,Floor 1 / 2F,Year Built 1993,Gakugei Daigaku Station (7 min. walk),"Monthly Costs ¥62,000"
2584,1K APARTMENT,"IN IKEGAMI
OTA-KU, TOKYO",Sumaino Seika,Size 20.66 m²,Floor 1 / 3F,Year Built 2016,Ikegami Station (3 min. walk),"Monthly Costs ¥95,550"
2585,1K APARTMENT,"IN UNOKI
OTA-KU, TOKYO",Sumaino Seika,Size 21.11 m²,Floor 3 / 4F,Year Built 2018,Unoki Station (9 min. walk),"Monthly Costs ¥95,050"
2586,1K APARTMENT,"IN KAMIOSAKI
SHINAGAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 19.57 m²,Floor 1 / 3F,Year Built 1993,Osaki Station (7 min. walk),"Monthly Costs ¥68,000"
2587,1K APARTMENT,"IN IKO
ADACHI-KU, TOKYO",Sumaino Seika,Size 28.02 m²,Floor 2 / 2F,Year Built 2007,Take No Tsuka Station (9 min. walk),"Monthly Costs ¥65,550"
2588,1K APARTMENT,"IN MINAMITANAKA
NERIMA-KU, TOKYO",Sumaino Seika,Size 20.82 m²,Floor 1 / 2F,Year Built 2017,Iogi Station (13 min. walk),"Monthly Costs ¥74,550"
2589,1K APARTMENT,"IN UNOKI
OTA-KU, TOKYO",Sumaino Seika,Size 21.11 m²,Floor 4 / 4F,Year Built 2017,Unoki Station (10 min. walk),"Monthly Costs ¥93,050"
2590,1K APARTMENT,"IN TAKANODAI
NERIMA-KU, TOKYO",Sumaino Seika,Size 21.07 m²,Floor 1 / 2F,Year Built 2011,Nerima Takanodai Station (8 min. walk),"Monthly Costs ¥77,050"
2591,1K APARTMENT,"IN HIGASHIKOMATSUGAWA
EDOGAWA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2003,Funabori Station (18 min. walk),"Monthly Costs ¥69,050"
2592,1R APARTMENT,"IN ARAKAWA
ARAKAWA-KU, TOKYO","Aonissin Co.,ltd.",Size 18.16 m²,Floor 2 / 3F,Year Built 1996,Mikawashima Station (6 min. walk),"Monthly Costs ¥66,000"
2593,1K APARTMENT,"IN SHIBAMATA
KATSUSHIKA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 1 / 2F,Year Built 2007,Shinshibamata Station (5 min. walk),"Monthly Costs ¥65,550"
2594,1K APARTMENT,"IN HAKUSAN(1-CHOME)
BUNKYO-KU, TOKYO","Aonissin Co.,ltd.",Size 20.00 m²,Floor 1 / 2F,Year Built 2001,Hakusan Station (3 min. walk),"Monthly Costs ¥78,000"
2595,1K APARTMENT,"IN SHIMURA
ITABASHI-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2010,Shimura-sakaue Station (8 min. walk),"Monthly Costs ¥63,550"
2596,1K APARTMENT,"IN KASUGACHO
NERIMA-KU, TOKYO",Sumaino Seika,Size 23.18 m²,Floor 1 / 2F,Year Built 2001,Heiwadai Station (12 min. walk),"Monthly Costs ¥78,050"
2597,1K APARTMENT,"IN KAMEARI
KATSUSHIKA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 3 / 3F,Year Built 2007,Kameari Station (6 min. walk),"Monthly Costs ¥73,550"
2598,1K APARTMENT,"IN OMORIHIGASHI
OTA-KU, TOKYO",Sumaino Seika,Size 26.08 m²,Floor 1 / 2F,Year Built 2012,Omorimachi Station (10 min. walk),"Monthly Costs ¥97,550"
2599,1R APARTMENT,"IN MINAMIOTSUKA
TOSHIMA-KU, TOKYO","Aonissin Co.,ltd.",Size 17.51 m²,Floor 1 / 5F,Year Built 1986,Otsuka Station (5 min. walk),"Monthly Costs ¥58,000"
2600,1K APARTMENT,"IN ARAI
NAKANO-KU, TOKYO",Sumaino Seika,Size 20.81 m²,Floor 2 / 3F,Year Built 2009,Araiyakushimae Station (10 min. walk),"Monthly Costs ¥85,550"
2601,1K APARTMENT,"IN YAHARA
NERIMA-KU, TOKYO",Sumaino Seika,Size 27.53 m²,Floor 2 / 3F,Year Built 2019,Shakujiikouen Station (11 min. by bus),"Monthly Costs ¥89,550"
2602,1K APARTMENT,"IN NAKADAI
ITABASHI-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 3F,Year Built 2009,Shimura San Choume Station (12 min. walk),"Monthly Costs ¥69,550"
2603,1K APARTMENT,"IN NISHIOIZUMI
NERIMA-KU, TOKYO",Sumaino Seika,Size 21.11 m²,Floor 2 / 3F,Year Built 2018,Oizumigakuen Station (18 min. walk),"Monthly Costs ¥75,050"
2604,1K APARTMENT,"IN NISHIARAIHONCHO
ADACHI-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2006,Kōhoku Station (8 min. walk),"Monthly Costs ¥66,550"
2605,1K APARTMENT,"IN MINAMIDAI
NAKANO-KU, TOKYO","Aonissin Co.,ltd.",Size 13.75 m²,Floor 1 / 2F,Year Built 1985,Hounanchou Station (10 min. walk),"Monthly Costs ¥61,550"
2606,1K APARTMENT,"IN MINAMITANAKA
NERIMA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 2F,Year Built 2008,Shakujiikouen Station (13 min. walk),"Monthly Costs ¥66,550"
2607,1K APARTMENT,"IN SEKIMACHIMINAMI
NERIMA-KU, TOKYO",Sumaino Seika,Size 22.54 m²,Floor 3 / 4F,Year Built 2015,Higashifushimi Station (11 min. walk),"Monthly Costs ¥69,550"
2608,1K APARTMENT,"IN MINAMIKUGAHARA
OTA-KU, TOKYO",Sumaino Seika,Size 23.18 m²,Floor 1 / 2F,Year Built 2005,Kugahara Station (6 min. walk),"Monthly Costs ¥79,050"
2609,1K APARTMENT,"IN SHINGASHI
ITABASHI-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 3 / 3F,Year Built 2011,Takashimadaira Station (13 min. walk),"Monthly Costs ¥66,550"
2610,1K APARTMENT,"IN HEIWADAI
NERIMA-KU, TOKYO",Sumaino Seika,Size 19.87 m²,Floor 2 / 3F,Year Built 2002,Heiwadai Station (10 min. walk),"Monthly Costs ¥71,550"
2611,1K APARTMENT,"IN MATSUE
EDOGAWA-KU, TOKYO",Sumaino Seika,Size 28.02 m²,Floor 2 / 2F,Year Built 2011,Ichinoe Station (13 min. walk),"Monthly Costs ¥78,050"
2612,1K APARTMENT,"IN KAMIKITAZAWA
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 20.20 m²,Floor 1 / 2F,Year Built 2016,Kamikitazawa Station (16 min. walk),"Monthly Costs ¥84,550"
2613,1K APARTMENT,"IN KOENJIMINAMI
SUGINAMI-KU, TOKYO",Sumaino Seika,Size 27.94 m²,Floor 2 / 3F,Year Built 2015,Higashi Koenji Station (8 min. walk),"Monthly Costs ¥112,050"
2614,1K APARTMENT,"IN SHIMOMARUKO
OTA-KU, TOKYO",Sumaino Seika,Size 20.81 m²,Floor 3 / 4F,Year Built 2009,Musashi-Nitta Station (9 min. walk),"Monthly Costs ¥84,050"
2615,1K APARTMENT,"IN HITOTSUYA
ADACHI-KU, TOKYO",Sumaino Seika,Size 22.47 m²,Floor 2 / 4F,Year Built 2005,Rokucho Station (17 min. walk),"Monthly Costs ¥56,050"
2616,1K APARTMENT,"IN TSURUMAKI
SETAGAYA-KU, TOKYO",Sumaino Seika,Size 20.76 m²,Floor 1 / 2F,Year Built 2017,Setagaya Station (9 min. walk),"Monthly Costs ¥87,050"
2617,1K APARTMENT,"IN OGIKUBO
SUGINAMI-KU, TOKYO",Sumaino Seika,Size 22.75 m²,Floor 1 / 2F,Year Built 2014,Minami Asagaya Station (14 min. walk),"Monthly Costs ¥90,550"
2618,1K APARTMENT,"IN SHIMOMARUKO
OTA-KU, TOKYO",Sumaino Seika,Size 21.71 m²,Floor 1 / 3F,Year Built 2017,Shimomaruko Station (5 min. walk),"Monthly Costs ¥81,550"
2619,1K APARTMENT,"IN HONCHO
NAKANO-KU, TOKYO",Sumaino Seika,Size 20.49 m²,Floor 2 / 3F,Year Built 2015,Nakanosakaue Station (7 min. walk),"Monthly Costs ¥105,550"
2620,1K APARTMENT,"IN NARIMASU
ITABASHI-KU, TOKYO",Sumaino Seika,Size 21.53 m²,Floor 1 / 2F,Year Built 2011,Narimasu Station (10 min. walk),"Monthly Costs ¥78,550"
2621,1K APARTMENT,"IN NISHIGAOKA
KITA-KU, TOKYO",Sumaino Seika,Size 25.60 m²,Floor 1 / 2F,Year Built 2011,Motohasunuma Station (11 min. walk),"Monthly Costs ¥90,050"
2622,1K APARTMENT,"IN CHIDORI
OTA-KU, TOKYO",Sumaino Seika,Size 28.32 m²,Floor 1 / 2F,Year Built 2012,Musashi-Nitta Station (6 min. walk),"Monthly Costs ¥96,050"
